[logic] [22:04:12.175] [info] TeamID=0
[logic] [22:04:12.176] [info] *********Basic Info*********
[logic] [22:04:12.176] [info] asynchronous: false
[logic] [22:04:12.176] [info] server: 127.0.0.1:8888
[logic] [22:04:12.176] [info] Character ID: 1
[logic] [22:04:12.176] [info] player team: BuddhistsTeam
[logic] [22:04:12.176] [info] ****************************
[logic] [22:04:12.183] [info] Try to connect to server...
[logic] [22:04:12.204] [info] Connect to the server successfully, AI thread will be started.
[logic] [22:04:12.204] [info] Join the AI thread!
[logic] [22:04:12.205] [info] Message thread start!
[logic] [22:04:12.517] [info] Game Start!
[logic] [22:04:12.523] [info] Map loaded!
[logic] [22:04:12.523] [info] Buffer cleared!
[logic] [22:04:12.523] [info] Update State!
[logic] [22:04:12.542] [info] Buffer cleared!
[logic] [22:04:12.542] [info] Update State!
[logic] [22:04:12.605] [info] Buffer cleared!
[logic] [22:04:12.605] [info] Update State!
[logic] [22:04:12.651] [info] Buffer cleared!
[logic] [22:04:12.651] [info] Update State!
[logic] [22:04:12.697] [info] Buffer cleared!
[logic] [22:04:12.698] [info] Update State!
[logic] [22:04:12.759] [info] Buffer cleared!
[logic] [22:04:12.759] [info] Update State!
[logic] [22:04:12.805] [info] Buffer cleared!
[logic] [22:04:12.805] [info] Update State!
[logic] [22:04:12.852] [info] Buffer cleared!
[logic] [22:04:12.852] [info] Update State!
[logic] [22:04:12.900] [info] Buffer cleared!
[logic] [22:04:12.900] [info] Update State!
[logic] [22:04:12.946] [info] Buffer cleared!
[logic] [22:04:12.946] [info] Update State!
[logic] [22:04:13.007] [info] Buffer cleared!
[logic] [22:04:13.007] [info] Update State!
[logic] [22:04:13.053] [info] Buffer cleared!
[logic] [22:04:13.053] [info] Update State!
[logic] [22:04:13.099] [info] Buffer cleared!
[logic] [22:04:13.100] [info] Update State!
[logic] [22:04:13.147] [info] Buffer cleared!
[logic] [22:04:13.147] [info] Update State!
[logic] [22:04:13.207] [info] Buffer cleared!
[logic] [22:04:13.207] [info] Update State!
[logic] [22:04:13.253] [info] Buffer cleared!
[logic] [22:04:13.253] [info] Update State!
[logic] [22:04:13.299] [info] Buffer cleared!
[logic] [22:04:13.299] [info] Update State!
[logic] [22:04:13.345] [info] Buffer cleared!
[logic] [22:04:13.345] [info] Update State!
[logic] [22:04:13.391] [info] Buffer cleared!
[logic] [22:04:13.391] [info] Update State!
[logic] [22:04:13.438] [info] Buffer cleared!
[logic] [22:04:13.438] [info] Update State!
[logic] [22:04:13.501] [info] Buffer cleared!
[logic] [22:04:13.501] [info] Update State!
