[logic] [22:53:16.065] [info] *********Basic Info*********
[logic] [22:53:16.066] [info] asynchronous: false
[logic] [22:53:16.066] [info] server: 127.0.0.1:8888
[logic] [22:53:16.066] [info] Ship ID: 1
[logic] [22:53:16.066] [info] player team: MonstersTeam
[logic] [22:53:16.066] [info] ****************************
[logic] [22:53:16.089] [info] Try to connect to server...
[logic] [22:53:16.135] [info] Connect to the server successfully, AI thread will be started.
[logic] [22:53:16.136] [info] Join the AI thread!
[logic] [22:53:16.138] [info] Message thread start!
[logic] [22:53:16.224] [info] Game Start!
[logic] [22:53:16.239] [info] Map loaded!
[logic] [22:53:16.239] [info] Buffer cleared!
[logic] [22:53:16.239] [info] Update State!
[logic] [22:53:16.239] [info] Buffer cleared!
[logic] [22:53:16.241] [info] Update State!
[logic] [22:53:16.267] [info] Buffer cleared!
[logic] [22:53:16.268] [info] Update State!
[logic] [22:53:16.316] [info] Buffer cleared!
[logic] [22:53:16.317] [info] Update State!
[logic] [22:53:16.347] [info] Buffer cleared!
[logic] [22:53:16.347] [info] Update State!
[logic] [22:53:16.409] [info] Buffer cleared!
[logic] [22:53:16.409] [info] Update State!
[logic] [22:53:16.474] [info] Buffer cleared!
[logic] [22:53:16.475] [info] Update State!
[logic] [22:53:16.506] [info] Buffer cleared!
[logic] [22:53:16.506] [info] Update State!
[logic] [22:53:16.551] [info] Buffer cleared!
[logic] [22:53:16.551] [info] Update State!
[logic] [22:53:16.597] [info] Buffer cleared!
[logic] [22:53:16.597] [info] Update State!
[logic] [22:53:16.679] [info] Buffer cleared!
[logic] [22:53:16.680] [info] Update State!
[logic] [22:53:16.711] [info] Buffer cleared!
[logic] [22:53:16.711] [info] Update State!
[logic] [22:53:16.755] [info] Buffer cleared!
[logic] [22:53:16.755] [info] Update State!
[logic] [22:53:16.802] [info] Buffer cleared!
[logic] [22:53:16.802] [info] Update State!
[logic] [22:53:16.863] [info] Buffer cleared!
[logic] [22:53:16.865] [info] Update State!
[logic] [22:53:16.910] [info] Buffer cleared!
[logic] [22:53:16.910] [info] Update State!
[logic] [22:53:16.958] [info] Buffer cleared!
[logic] [22:53:16.959] [info] Update State!
[logic] [22:53:17.003] [info] Buffer cleared!
[logic] [22:53:17.003] [info] Update State!
[logic] [22:53:17.069] [info] Buffer cleared!
[logic] [22:53:17.070] [info] Update State!
[logic] [22:53:17.114] [info] Buffer cleared!
[logic] [22:53:17.114] [info] Update State!
[logic] [22:53:17.161] [info] Buffer cleared!
[logic] [22:53:17.162] [info] Update State!
[logic] [22:53:17.209] [info] Buffer cleared!
[logic] [22:53:17.210] [info] Update State!
[logic] [22:53:17.256] [info] Buffer cleared!
[logic] [22:53:17.256] [info] Update State!
[logic] [22:53:17.314] [info] Buffer cleared!
[logic] [22:53:17.315] [info] Update State!
[logic] [22:53:17.382] [info] Buffer cleared!
[logic] [22:53:17.385] [info] Update State!
[logic] [22:53:17.411] [info] Buffer cleared!
[logic] [22:53:17.413] [info] Update State!
[logic] [22:53:17.471] [info] Buffer cleared!
[logic] [22:53:17.472] [info] Update State!
[logic] [22:53:17.507] [info] Buffer cleared!
[logic] [22:53:17.508] [info] Update State!
[logic] [22:53:17.566] [info] Buffer cleared!
[logic] [22:53:17.568] [info] Update State!
[logic] [22:53:17.610] [info] Buffer cleared!
[logic] [22:53:17.611] [info] Update State!
[logic] [22:53:17.672] [info] Buffer cleared!
[logic] [22:53:17.673] [info] Update State!
[logic] [22:53:17.720] [info] Buffer cleared!
[logic] [22:53:17.721] [info] Update State!
[logic] [22:53:17.768] [info] Buffer cleared!
[logic] [22:53:17.769] [info] Update State!
[logic] [22:53:17.812] [info] Buffer cleared!
[logic] [22:53:17.812] [info] Update State!
[logic] [22:53:17.878] [info] Buffer cleared!
[logic] [22:53:17.879] [info] Update State!
[logic] [22:53:17.914] [info] Buffer cleared!
[logic] [22:53:17.915] [info] Update State!
[logic] [22:53:17.970] [info] Buffer cleared!
[logic] [22:53:17.971] [info] Update State!
[logic] [22:53:18.015] [iinfo] Buffer cleared!
[logic] [22:53:18.016] [info] Update State!
[logic] [22:53:18.063] [info] Buffer cleared!
[logic] [22:53:18.064] [info] Update State!
[logic] [22:53:18.111] [info] Buffer cleared!
[logic] [22:53:18.111] [info] Update State!
[logic] [22:53:18.174] [info] Buffer cleared!
[logic] [22:53:18.175] [info] Update State!
[logic] [22:53:18.204] [info] Buffer cleared!
[logic] [22:53:18.207] [info] Update State!
[logic] [22:53:18.268] [info] Buffer cleared!
[logic] [22:53:18.270] [info] Update State!
[logic] [22:53:18.313] [info] Buffer cleared!
[logic] [22:53:18.314] [info] Update State!
[logic] [22:53:18.375] [info] Buffer cleared!
[logic] [22:53:18.376] [info] Update State!
[logic] [22:53:18.421] [info] Buffer cleared!
[logic] [22:53:18.421] [info] Update State!
[logic] [22:53:18.468] [info] Buffer cleared!
[logic] [22:53:18.469] [info] Update State!
[logic] [22:53:18.514] [info] Buffer cleared!
[logic] [22:53:18.515] [info] Update State!
